,surname,nationality,split
2441,Sayegh,Arabic,train
11900,Machado,Spanish,train
13234,Koeman,Dutch,train
12290,Acquafredda,Italian,train
340,Pinter,Czech,train
4128,Toyotomi,Japanese,train
6851,Jidkin,Russian,train
9294,Garland,English,train
13047,Murray,Scottish,train
11795,Bautista,Spanish,train
3480,Ise,Japanese,train
12207,Pispinis,Greek,train
3182,Bazzi,Arabic,train
11509,Virgo,English,train
8933,Edler,English,train
1838,Srour,Arabic,train
11390,Trent,English,train
2103,Morcos,Arabic,train
5207,Awelan,Russian,train
1152,Tanzer,German,train
12478,Campana,Italian,train
3436,Ichigawa,Japanese,train
5485,Truhanovsky,Russian,train
6802,Agamov,Russian,train
11042,Said,English,train
973,Nuremberg,German,train
2959,Ghanem,Arabic,train
12662,Marino,Italian,train
5002,Juhanaev,Russian,train
7165,Gaschenkov,Russian,train
11187,Stephens,English,train
5811,Chepin,Russian,train
8247,Astley,English,train
5295,Jilyuk,Russian,train
9198,Forrest,English,train
9241,French,English,train
4888,Turbin,Russian,train
3090,Arian,Arabic,train
7031,Fabrichnov,Russian,train
11365,Torrens,English,train
5686,Pochtarev,Russian,train
1316,Malouf,Arabic,train
6269,Hramtsov,Russian,train
1619,Shamon,Arabic,train
12319,Airò,Italian,train
13205,Hassel,Dutch,train
12595,Gaspari,Italian,train
6216,Filipovsky,Russian,train
10483,Nield,English,train
2897,Cham,Arabic,train
10417,Nash,English,train
1216,West,German,train
7340,Grusha,Russian,train
4336,Ming,Chinese,train
10401,Mundy,English,train
8999,Elwood,English,train
10254,Marshall,English,train
12951,Vitali,Italian,train
4787,Aganoff,Russian,train
7887,Conall,Irish,train
9273,Gales,English,train
8992,Elston,English,train
8114,Ahern,English,train
13512,Tsai ,Korean,train
1171,Vogt,German,train
3287,Ayabito,Japanese,train
10132,Little,English,train
4086,Tankoshitsu,Japanese,train
3818,Nijo,Japanese,train
2506,Mustafa,Arabic,train
9400,Gosling,English,train
10431,Neeson,English,train
4739,Mokrousov,Russian,train
9646,Hudson,English,train
3250,Akaike,Japanese,train
10006,Kydd,English,train
12977,Crespo,Portuguese,train
6210,Abashev,Russian,train
1084,Schuster,German,train
7601,Blanchet,French,train
5308,Shaitanov,Russian,train
7002,Vysotskih,Russian,train
4862,Avtchenko,Russian,train
5078,Chadovich,Russian,train
11300,Thornton,English,train
1460,Sabbagh,Arabic,train
3563,Kawagichi,Japanese,train
4922,Piskarev,Russian,train
4017,Someya,Japanese,train
1206,Weigand,German,train
9523,Hassan,English,train
10038,Larsen,English,train
6800,Bauze,Russian,train
11103,Sherwood,English,train
8202,Antram,English,train
12796,Pugliese,Italian,train
1413,Bishara,Arabic,train
2532,Gerges,Arabic,train
5296,Eberman,Russian,train
3012,Fakhoury,Arabic,train
11210,Stretton,English,train
13542,Czajka,Polish,train
9627,Horne,English,train
7780,Pelletier,French,train
5226,Frolandin,Russian,train
12976,Costa,Portuguese,train
8169,Allwood,English,train
9333,Gilder,English,train
13483,Oh ,Korean,train
10071,Leckie,English,train
6741,Viner,Russian,train
9286,Ganivet,English,train
274,Mojjis,Czech,train
175,Kaplanek,Czech,train
8829,Drake,English,train
3075,Qureshi,Arabic,train
5548,Bimbas,Russian,train
7642,De la fontaine,French,train
3757,Morisue,Japanese,train
4567,Trang,Vietnamese,train
12797,Quaranta,Italian,train
12068,Bekyros,Greek,train
419,Slejtr,Czech,train
3629,Kon,Japanese,train
829,Kaube,German,train
6887,Harik,Russian,train
97,Gabrisova,Czech,train
3304,Deushi,Japanese,train
1540,Gaber,Arabic,train
8510,Carter,English,train
10711,Pendleton,English,train
6774,Anosov,Russian,train
3968,Shige,Japanese,train
9108,Faust,English,train
421,Slepica,Czech,train
4236,Bai,Chinese,train
3105,Antar,Arabic,train
5677,Yablonovsky,Russian,train
742,Gunther,German,train
11648,Wilks,English,train
656,Engel,German,train
2145,Hakimi,Arabic,train
9134,Ferns,English,train
7364,Aderikhin,Russian,train
