sent_id,target,context,split
0,st.,"['<PAD>', '<PAD>', 'petersburgh', 'dec.']",test
0,petersburgh,"['<PAD>', 'st.', 'dec.', '11th']",test
0,dec.,"['st.', 'petersburgh', '11th', '17—.']",test
0,11th,"['petersburgh', 'dec.', '17—.', 'you']",test
0,17—.,"['dec.', '11th', 'you', 'will']",test
0,you,"['11th', '17—.', 'will', 'rejoice']",test
0,will,"['17—.', 'you', 'rejoice', 'to']",test
0,rejoice,"['you', 'will', 'to', 'hear']",test
0,to,"['will', 'rejoice', 'hear', 'that']",test
0,hear,"['rejoice', 'to', 'that', 'no']",test
0,that,"['to', 'hear', 'no', 'disaster']",test
0,no,"['hear', 'that', 'disaster', 'has']",test
0,disaster,"['that', 'no', 'has', 'accompanied']",test
0,has,"['no', 'disaster', 'accompanied', 'the']",test
0,accompanied,"['disaster', 'has', 'the', 'commencement']",test
0,the,"['has', 'accompanied', 'commencement', 'of']",test
0,commencement,"['accompanied', 'the', 'of', 'an']",test
0,of,"['the', 'commencement', 'an', 'enterprise']",test
0,an,"['commencement', 'of', 'enterprise', 'which']",test
0,enterprise,"['of', 'an', 'which', 'you']",test
0,which,"['an', 'enterprise', 'you', 'have']",test
0,you,"['enterprise', 'which', 'have', 'regarded']",test
0,have,"['which', 'you', 'regarded', 'with']",test
0,regarded,"['you', 'have', 'with', 'such']",test
0,with,"['have', 'regarded', 'such', 'evil']",test
0,such,"['regarded', 'with', 'evil', 'forebodings']",test
0,evil,"['with', 'such', 'forebodings', '<PAD>']",test
0,forebodings,"['such', 'evil', '<PAD>', '<PAD>']",test
1,i,"['<PAD>', '<PAD>', 'arrived', 'here']",train
1,arrived,"['<PAD>', 'i', 'here', 'yesterday']",train
1,here,"['i', 'arrived', 'yesterday', 'and']",train
1,yesterday,"['arrived', 'here', 'and', 'my']",train
1,and,"['here', 'yesterday', 'my', 'first']",train
1,my,"['yesterday', 'and', 'first', 'task']",train
1,first,"['and', 'my', 'task', 'is']",train
1,task,"['my', 'first', 'is', 'to']",train
1,is,"['first', 'task', 'to', 'assure']",train
1,to,"['task', 'is', 'assure', 'my']",train
1,assure,"['is', 'to', 'my', 'dear']",train
1,my,"['to', 'assure', 'dear', 'sister']",train
1,dear,"['assure', 'my', 'sister', 'of']",train
1,sister,"['my', 'dear', 'of', 'my']",train
1,of,"['dear', 'sister', 'my', 'welfare']",train
1,my,"['sister', 'of', 'welfare', 'and']",train
1,welfare,"['of', 'my', 'and', 'increasing']",train
1,and,"['my', 'welfare', 'increasing', 'confidence']",train
1,increasing,"['welfare', 'and', 'confidence', 'in']",train
1,confidence,"['and', 'increasing', 'in', 'the']",train
1,in,"['increasing', 'confidence', 'the', 'success']",train
1,the,"['confidence', 'in', 'success', 'of']",train
1,success,"['in', 'the', 'of', 'my']",train
1,of,"['the', 'success', 'my', 'undertaking']",train
1,my,"['success', 'of', 'undertaking', '<PAD>']",train
1,undertaking,"['of', 'my', '<PAD>', '<PAD>']",train
2,i,"['<PAD>', '<PAD>', 'am', 'already']",train
2,am,"['<PAD>', 'i', 'already', 'far']",train
2,already,"['i', 'am', 'far', 'north']",train
2,far,"['am', 'already', 'north', 'of']",train
2,north,"['already', 'far', 'of', 'london']",train
2,of,"['far', 'north', 'london', 'and']",train
2,london,"['north', 'of', 'and', 'as']",train
2,and,"['of', 'london', 'as', 'i']",train
2,as,"['london', 'and', 'i', 'walk']",train
2,i,"['and', 'as', 'walk', 'in']",train
2,walk,"['as', 'i', 'in', 'the']",train
2,in,"['i', 'walk', 'the', 'streets']",train
2,the,"['walk', 'in', 'streets', 'of']",train
2,streets,"['in', 'the', 'of', 'petersburgh']",train
2,of,"['the', 'streets', 'petersburgh', 'i']",train
2,petersburgh,"['streets', 'of', 'i', 'feel']",train
2,i,"['of', 'petersburgh', 'feel', 'a']",train
2,feel,"['petersburgh', 'i', 'a', 'cold']",train
2,a,"['i', 'feel', 'cold', 'northern']",train
2,cold,"['feel', 'a', 'northern', 'breeze']",train
2,northern,"['a', 'cold', 'breeze', 'play']",train
2,breeze,"['cold', 'northern', 'play', 'upon']",train
2,play,"['northern', 'breeze', 'upon', 'my']",train
2,upon,"['breeze', 'play', 'my', 'cheeks']",train
2,my,"['play', 'upon', 'cheeks', 'which']",train
2,cheeks,"['upon', 'my', 'which', 'braces']",train
2,which,"['my', 'cheeks', 'braces', 'my']",train
2,braces,"['cheeks', 'which', 'my', 'nerves']",train
2,my,"['which', 'braces', 'nerves', 'and']",train
2,nerves,"['braces', 'my', 'and', 'fills']",train
2,and,"['my', 'nerves', 'fills', 'me']",train
2,fills,"['nerves', 'and', 'me', 'with']",train
2,me,"['and', 'fills', 'with', 'delight']",train
2,with,"['fills', 'me', 'delight', '<PAD>']",train
2,delight,"['me', 'with', '<PAD>', '<PAD>']",train
3,do,"['<PAD>', '<PAD>', 'you', 'understand']",test
3,you,"['<PAD>', 'do', 'understand', 'this']",test
3,understand,"['do', 'you', 'this', 'feeling']",test
3,this,"['you', 'understand', 'feeling', '<PAD>']",test
3,feeling,"['understand', 'this', '<PAD>', '<PAD>']",test
4,this,"['<PAD>', '<PAD>', 'breeze', 'which']",train
4,breeze,"['<PAD>', 'this', 'which', 'has']",train
4,which,"['this', 'breeze', 'has', 'travelled']",train
4,has,"['breeze', 'which', 'travelled', 'from']",train
4,travelled,"['which', 'has', 'from', 'the']",train
4,from,"['has', 'travelled', 'the', 'regions']",train
4,the,"['travelled', 'from', 'regions', 'towards']",train
4,regions,"['from', 'the', 'towards', 'which']",train
4,towards,"['the', 'regions', 'which', 'i']",train
4,which,"['regions', 'towards', 'i', 'am']",train
4,i,"['towards', 'which', 'am', 'advancing']",train
4,am,"['which', 'i', 'advancing', 'gives']",train
4,advancing,"['i', 'am', 'gives', 'me']",train
4,gives,"['am', 'advancing', 'me', 'a']",train
4,me,"['advancing', 'gives', 'a', 'foretaste']",train
4,a,"['gives', 'me', 'foretaste', 'of']",train
4,foretaste,"['me', 'a', 'of', 'those']",train
4,of,"['a', 'foretaste', 'those', 'icy']",train
4,those,"['foretaste', 'of', 'icy', 'climes']",train
4,icy,"['of', 'those', 'climes', '<PAD>']",train
4,climes,"['those', 'icy', '<PAD>', '<PAD>']",train
5,inspirited,"['<PAD>', '<PAD>', 'by', 'this']",test
5,by,"['<PAD>', 'inspirited', 'this', 'wind']",test
5,this,"['inspirited', 'by', 'wind', 'of']",test
5,wind,"['by', 'this', 'of', 'promise']",test
5,of,"['this', 'wind', 'promise', 'my']",test
5,promise,"['wind', 'of', 'my', 'daydreams']",test
5,my,"['of', 'promise', 'daydreams', 'become']",test
5,daydreams,"['promise', 'my', 'become', 'more']",test
5,become,"['my', 'daydreams', 'more', 'fervent']",test
5,more,"['daydreams', 'become', 'fervent', 'and']",test
5,fervent,"['become', 'more', 'and', 'vivid']",test
5,and,"['more', 'fervent', 'vivid', '<PAD>']",test
5,vivid,"['fervent', 'and', '<PAD>', '<PAD>']",test
6,i,"['<PAD>', '<PAD>', 'try', 'in']",valid
6,try,"['<PAD>', 'i', 'in', 'vain']",valid
6,in,"['i', 'try', 'vain', 'to']",valid
6,vain,"['try', 'in', 'to', 'be']",valid
6,to,"['in', 'vain', 'be', 'persuaded']",valid
6,be,"['vain', 'to', 'persuaded', 'that']",valid
6,persuaded,"['to', 'be', 'that', 'the']",valid
6,that,"['be', 'persuaded', 'the', 'pole']",valid
6,the,"['persuaded', 'that', 'pole', 'is']",valid
6,pole,"['that', 'the', 'is', 'the']",valid
6,is,"['the', 'pole', 'the', 'seat']",valid
6,the,"['pole', 'is', 'seat', 'of']",valid
6,seat,"['is', 'the', 'of', 'frost']",valid
6,of,"['the', 'seat', 'frost', 'and']",valid
6,frost,"['seat', 'of', 'and', 'desolation']",valid
6,and,"['of', 'frost', 'desolation', 'it']",valid
6,desolation,"['frost', 'and', 'it', 'ever']",valid
6,it,"['and', 'desolation', 'ever', 'presents']",valid
6,ever,"['desolation', 'it', 'presents', 'itself']",valid
6,presents,"['it', 'ever', 'itself', 'to']",valid
6,itself,"['ever', 'presents', 'to', 'my']",valid
6,to,"['presents', 'itself', 'my', 'imagination']",valid
6,my,"['itself', 'to', 'imagination', 'as']",valid
6,imagination,"['to', 'my', 'as', 'the']",valid
6,as,"['my', 'imagination', 'the', 'region']",valid
6,the,"['imagination', 'as', 'region', 'of']",valid
6,region,"['as', 'the', 'of', 'beauty']",valid
6,of,"['the', 'region', 'beauty', 'and']",valid
6,beauty,"['region', 'of', 'and', 'delight']",valid
6,and,"['of', 'beauty', 'delight', '<PAD>']",valid
6,delight,"['beauty', 'and', '<PAD>', '<PAD>']",valid
7,there,"['<PAD>', '<PAD>', 'margaret', 'the']",train
7,margaret,"['<PAD>', 'there', 'the', 'sun']",train
7,the,"['there', 'margaret', 'sun', 'is']",train
7,sun,"['margaret', 'the', 'is', 'for']",train
7,is,"['the', 'sun', 'for', 'ever']",train
7,for,"['sun', 'is', 'ever', 'visible']",train
7,ever,"['is', 'for', 'visible', 'its']",train
7,visible,"['for', 'ever', 'its', 'broad']",train
7,its,"['ever', 'visible', 'broad', 'disk']",train
7,broad,"['visible', 'its', 'disk', 'just']",train
7,disk,"['its', 'broad', 'just', 'skirting']",train
7,just,"['broad', 'disk', 'skirting', 'the']",train
7,skirting,"['disk', 'just', 'the', 'horizon']",train
7,the,"['just', 'skirting', 'horizon', 'and']",train
7,horizon,"['skirting', 'the', 'and', 'diffusing']",train
7,and,"['the', 'horizon', 'diffusing', 'a']",train
7,diffusing,"['horizon', 'and', 'a', 'perpetual']",train
7,a,"['and', 'diffusing', 'perpetual', 'splendour']",train
7,perpetual,"['diffusing', 'a', 'splendour', '<PAD>']",train
7,splendour,"['a', 'perpetual', '<PAD>', '<PAD>']",train
8,there,"['<PAD>', '<PAD>', 'for', 'with']",test
8,for,"['<PAD>', 'there', 'with', 'your']",test
8,with,"['there', 'for', 'your', 'leave']",test
8,your,"['for', 'with', 'leave', 'my']",test
8,leave,"['with', 'your', 'my', 'sister']",test
8,my,"['your', 'leave', 'sister', 'i']",test
8,sister,"['leave', 'my', 'i', 'will']",test
8,i,"['my', 'sister', 'will', 'put']",test
8,will,"['sister', 'i', 'put', 'some']",test
8,put,"['i', 'will', 'some', 'trust']",test
8,some,"['will', 'put', 'trust', 'in']",test
8,trust,"['put', 'some', 'in', 'preceding']",test
8,in,"['some', 'trust', 'preceding', 'navigators']",test
8,preceding,"['trust', 'in', 'navigators', 'there']",test
8,navigators,"['in', 'preceding', 'there', 'snow']",test
8,there,"['preceding', 'navigators', 'snow', 'and']",test
8,snow,"['navigators', 'there', 'and', 'frost']",test
8,and,"['there', 'snow', 'frost', 'are']",test
8,frost,"['snow', 'and', 'are', 'banished']",test
8,are,"['and', 'frost', 'banished', 'and']",test
8,banished,"['frost', 'are', 'and', 'sailing']",test
8,and,"['are', 'banished', 'sailing', 'over']",test
8,sailing,"['banished', 'and', 'over', 'a']",test
8,over,"['and', 'sailing', 'a', 'calm']",test
8,a,"['sailing', 'over', 'calm', 'sea']",test
8,calm,"['over', 'a', 'sea', 'we']",test
8,sea,"['a', 'calm', 'we', 'may']",test
8,we,"['calm', 'sea', 'may', 'be']",test
8,may,"['sea', 'we', 'be', 'wafted']",test
8,be,"['we', 'may', 'wafted', 'to']",test
8,wafted,"['may', 'be', 'to', 'a']",test
8,to,"['be', 'wafted', 'a', 'land']",test
8,a,"['wafted', 'to', 'land', 'surpassing']",test
8,land,"['to', 'a', 'surpassing', 'in']",test
8,surpassing,"['a', 'land', 'in', 'wonders']",test
8,in,"['land', 'surpassing', 'wonders', 'and']",test
8,wonders,"['surpassing', 'in', 'and', 'in']",test
8,and,"['in', 'wonders', 'in', 'beauty']",test
8,in,"['wonders', 'and', 'beauty', 'every']",test
8,beauty,"['and', 'in', 'every', 'region']",test
8,every,"['in', 'beauty', 'region', 'hitherto']",test
8,region,"['beauty', 'every', 'hitherto', 'discovered']",test
8,hitherto,"['every', 'region', 'discovered', 'on']",test
8,discovered,"['region', 'hitherto', 'on', 'the']",test
8,on,"['hitherto', 'discovered', 'the', 'habitable']",test
8,the,"['discovered', 'on', 'habitable', 'globe']",test
8,habitable,"['on', 'the', 'globe', '<PAD>']",test
8,globe,"['the', 'habitable', '<PAD>', '<PAD>']",test
9,its,"['<PAD>', '<PAD>', 'productions', 'and']",test
9,productions,"['<PAD>', 'its', 'and', 'features']",test
9,and,"['its', 'productions', 'features', 'may']",test
9,features,"['productions', 'and', 'may', 'be']",test
9,may,"['and', 'features', 'be', 'without']",test
9,be,"['features', 'may', 'without', 'example']",test
9,without,"['may', 'be', 'example', 'as']",test
9,example,"['be', 'without', 'as', 'the']",test
9,as,"['without', 'example', 'the', 'phenomena']",test
9,the,"['example', 'as', 'phenomena', 'of']",test
9,phenomena,"['as', 'the', 'of', 'the']",test
9,of,"['the', 'phenomena', 'the', 'heavenly']",test
9,the,"['phenomena', 'of', 'heavenly', 'bodies']",test
9,heavenly,"['of', 'the', 'bodies', 'undoubtedly']",test
9,bodies,"['the', 'heavenly', 'undoubtedly', 'are']",test
9,undoubtedly,"['heavenly', 'bodies', 'are', 'in']",test
9,are,"['bodies', 'undoubtedly', 'in', 'those']",test
9,in,"['undoubtedly', 'are', 'those', 'undiscovered']",test
9,those,"['are', 'in', 'undiscovered', 'solitudes']",test
9,undiscovered,"['in', 'those', 'solitudes', '<PAD>']",test
9,solitudes,"['those', 'undiscovered', '<PAD>', '<PAD>']",test
10,what,"['<PAD>', '<PAD>', 'may', 'not']",train
10,may,"['<PAD>', 'what', 'not', 'be']",train
10,not,"['what', 'may', 'be', 'expected']",train
10,be,"['may', 'not', 'expected', 'in']",train
10,expected,"['not', 'be', 'in', 'a']",train
10,in,"['be', 'expected', 'a', 'country']",train
10,a,"['expected', 'in', 'country', 'of']",train
10,country,"['in', 'a', 'of', 'eternal']",train
10,of,"['a', 'country', 'eternal', 'light']",train
10,eternal,"['country', 'of', 'light', '<PAD>']",train
10,light,"['of', 'eternal', '<PAD>', '<PAD>']",train
11,i,"['<PAD>', '<PAD>', 'may', 'there']",train
11,may,"['<PAD>', 'i', 'there', 'discover']",train
11,there,"['i', 'may', 'discover', 'the']",train
11,discover,"['may', 'there', 'the', 'wondrous']",train
11,the,"['there', 'discover', 'wondrous', 'power']",train
11,wondrous,"['discover', 'the', 'power', 'which']",train
11,power,"['the', 'wondrous', 'which', 'attracts']",train
11,which,"['wondrous', 'power', 'attracts', 'the']",train
11,attracts,"['power', 'which', 'the', 'needle']",train
11,the,"['which', 'attracts', 'needle', 'and']",train
11,needle,"['attracts', 'the', 'and', 'may']",train
11,and,"['the', 'needle', 'may', 'regulate']",train
11,may,"['needle', 'and', 'regulate', 'a']",train
11,regulate,"['and', 'may', 'a', 'thousand']",train
11,a,"['may', 'regulate', 'thousand', 'celestial']",train
11,thousand,"['regulate', 'a', 'celestial', 'observations']",train
11,celestial,"['a', 'thousand', 'observations', 'that']",train
11,observations,"['thousand', 'celestial', 'that', 'require']",train
11,that,"['celestial', 'observations', 'require', 'only']",train
11,require,"['observations', 'that', 'only', 'this']",train
11,only,"['that', 'require', 'this', 'voyage']",train
11,this,"['require', 'only', 'voyage', 'to']",train
11,voyage,"['only', 'this', 'to', 'render']",train
11,to,"['this', 'voyage', 'render', 'their']",train
11,render,"['voyage', 'to', 'their', 'seeming']",train
11,their,"['to', 'render', 'seeming', 'eccentricities']",train
11,seeming,"['render', 'their', 'eccentricities', 'consistent']",train
11,eccentricities,"['their', 'seeming', 'consistent', 'for']",train
11,consistent,"['seeming', 'eccentricities', 'for', 'ever']",train
11,for,"['eccentricities', 'consistent', 'ever', '<PAD>']",train
11,ever,"['consistent', 'for', '<PAD>', '<PAD>']",train
12,i,"['<PAD>', '<PAD>', 'shall', 'satiate']",train
12,shall,"['<PAD>', 'i', 'satiate', 'my']",train
12,satiate,"['i', 'shall', 'my', 'ardent']",train
12,my,"['shall', 'satiate', 'ardent', 'curiosity']",train
12,ardent,"['satiate', 'my', 'curiosity', 'with']",train
12,curiosity,"['my', 'ardent', 'with', 'the']",train
12,with,"['ardent', 'curiosity', 'the', 'sight']",train
12,the,"['curiosity', 'with', 'sight', 'of']",train
12,sight,"['with', 'the', 'of', 'a']",train
12,of,"['the', 'sight', 'a', 'part']",train
12,a,"['sight', 'of', 'part', 'of']",train
12,part,"['of', 'a', 'of', 'the']",train
12,of,"['a', 'part', 'the', 'world']",train
12,the,"['part', 'of', 'world', 'never']",train
12,world,"['of', 'the', 'never', 'before']",train
12,never,"['the', 'world', 'before', 'visited']",train
12,before,"['world', 'never', 'visited', 'and']",train
12,visited,"['never', 'before', 'and', 'may']",train
12,and,"['before', 'visited', 'may', 'tread']",train
12,may,"['visited', 'and', 'tread', 'a']",train
12,tread,"['and', 'may', 'a', 'land']",train
12,a,"['may', 'tread', 'land', 'never']",train
12,land,"['tread', 'a', 'never', 'before']",train
12,never,"['a', 'land', 'before', 'imprinted']",train
12,before,"['land', 'never', 'imprinted', 'by']",train
12,imprinted,"['never', 'before', 'by', 'the']",train
12,by,"['before', 'imprinted', 'the', 'foot']",train
12,the,"['imprinted', 'by', 'foot', 'of']",train
12,foot,"['by', 'the', 'of', 'man']",train
12,of,"['the', 'foot', 'man', '<PAD>']",train
12,man,"['foot', 'of', '<PAD>', '<PAD>']",train
13,these,"['<PAD>', '<PAD>', 'are', 'my']",train
13,are,"['<PAD>', 'these', 'my', 'enticements']",train
13,my,"['these', 'are', 'enticements', 'and']",train
13,enticements,"['are', 'my', 'and', 'they']",train
13,and,"['my', 'enticements', 'they', 'are']",train
13,they,"['enticements', 'and', 'are', 'sufficient']",train
13,are,"['and', 'they', 'sufficient', 'to']",train
13,sufficient,"['they', 'are', 'to', 'conquer']",train
13,to,"['are', 'sufficient', 'conquer', 'all']",train
13,conquer,"['sufficient', 'to', 'all', 'fear']",train
13,all,"['to', 'conquer', 'fear', 'of']",train
13,fear,"['conquer', 'all', 'of', 'danger']",train
13,of,"['all', 'fear', 'danger', 'or']",train
13,danger,"['fear', 'of', 'or', 'death']",train
13,or,"['of', 'danger', 'death', 'and']",train
13,death,"['danger', 'or', 'and', 'to']",train
13,and,"['or', 'death', 'to', 'induce']",train
13,to,"['death', 'and', 'induce', 'me']",train
13,induce,"['and', 'to', 'me', 'to']",train
13,me,"['to', 'induce', 'to', 'commence']",train
13,to,"['induce', 'me', 'commence', 'this']",train
13,commence,"['me', 'to', 'this', 'laborious']",train
13,this,"['to', 'commence', 'laborious', 'voyage']",train
13,laborious,"['commence', 'this', 'voyage', 'with']",train
13,voyage,"['this', 'laborious', 'with', 'the']",train
13,with,"['laborious', 'voyage', 'the', 'joy']",train
13,the,"['voyage', 'with', 'joy', 'a']",train
13,joy,"['with', 'the', 'a', 'child']",train
13,a,"['the', 'joy', 'child', 'feels']",train
13,child,"['joy', 'a', 'feels', 'when']",train
